Pe               V       Nsts   nu           nSupSteps  nsteps    ERRmax   Speedup
100             1.000000   50   1.000000e-03   58    2900    267389390275463282725360520654264519156607351791519114816111111604933022387670620679237088499667354387803237710134322850929241565466336157774035783397730653009274868081439573668339735480330174456059248733498919046989060207493656436028613758105856956256781655547517599744.000000      0.00 
100             1.000000   50   1.000000e-02   183    9150    Inf      0.00 
100             1.000000   50   1.000000e-01   577    28850    0.055501      1.58 

1000            10.000000   1   0              160768    160768    0.341308      0.00 
1000            10.000000   1   1.000000e-06   160769    160769    0.341303      1.00 
1000            10.000000   1   1.000000e-05   160770    160770    0.341307      1.00 
1000            10.000000   1   1.000000e-04   160785    160785    0.341383      0.00 
1000            10.000000   1   1.000000e-03   160929    160929    0.342175      0.00 
1000            10.000000   1   1.000000e-02   162376    162376    0.349901      0.00 
1000            10.000000   1   1.000000e-01   176845    176845    0.413106      0.00 
1000            10.000000   5   0              6431    32155    Inf      0.00 
1000            10.000000   5   1.000000e-06   6431    32155    Inf      0.00 
1000            10.000000   5   1.000000e-05   6433    32165    Inf      0.00 
1000            10.000000   5   1.000000e-04   6452    32260    Inf      0.00 
1000            10.000000   5   1.000000e-03   6642    33210    Inf      0.00 
1000            10.000000   5   1.000000e-02   8429    42145    Inf      0.00 
1000            10.000000   5   1.000000e-01   20395    101975    Inf      0.00 
1000            10.000000   10   0              1608    16080    Inf      0.00 
1000            10.000000   10   1.000000e-06   1608    16080    Inf      0.00 
1000            10.000000   10   1.000000e-05   1610    16100    Inf      0.00 
1000            10.000000   10   1.000000e-04   1630    16300    Inf      0.00 
1000            10.000000   10   1.000000e-03   1817    18170    Inf      0.00 
1000            10.000000   10   1.000000e-02   3334    33340    Inf      0.00 
1000            10.000000   10   1.000000e-01   10168  101680    Inf      0.00 
1000            10.000000   20   0              402    8040    Inf      0.00 
1000            10.000000   20   1.000000e-06   403    8060    Inf      0.00 
1000            10.000000   20   1.000000e-05   405    8100    Inf      0.00 
1000            10.000000   20   1.000000e-04   424    8480    Inf      0.00 
1000            10.000000   20   1.000000e-03   597    11940    Inf      0.00 
1000            10.000000   20   1.000000e-02   1609    32180    Inf      0.00 
1000            10.000000   20   1.000000e-01   5084    101680    Inf      0.00 
1000            10.000000   50   0              65    3250    Inf      0.00 
1000            10.000000   50   1.000000e-06   65    3250    Inf      0.00 
1000            10.000000   50   1.000000e-05   67    3350    Inf      0.00 
1000            10.000000   50   1.000000e-04   85    4250    Inf      0.00 
1000            10.000000   50   1.000000e-03   205    10250    Inf      0.00 
1000            10.000000   50   1.000000e-02   644    32200    Inf      0.00 
1000            10.000000   50   1.000000e-01   2034    101700    Inf      0.00 
